"","Feature","Comp1_Loading","Comp2_Loading"
"x360","375.93652_1.1321",0.00111211968804235,-0.00635900476847402
"x361","347.94158_1.1322",0.0021342044365578,-0.0111890038455378
"x362","170.93862_1.1328",0.00227769101171874,-0.00422773069271982
"x363","314.96668_1.1328",-0.00033657870806008,-0.00197373468837281
"x364","212.98021_1.1328",0.000988210256867813,-0.00414271290726874
"x365","231.01416_1.1328",0.020038477700009,-0.0455629742793927
"x366","117.00761_1.1334",0.0014057024990335,-0.00351042509323356
"x367","384.972_1.1328",0.000244984834196777,-0.0029871094613301
"x368","275.15098_1.1379",0.00225378609784065,-0.000488881378689897
"x369","376.85307_1.1298",-4.69807344480055e-05,0.000746823840479069
"x370","234.9621_1.1341",-6.96089632099435e-05,-0.00183717257080109
"x371","515.94715_1.1329",0.00188870642945577,-0.00384618113804363
"x372","330.93904_1.1334",0.000156377359830162,-0.00277885762313334
"x373","215.92794_1.1334",0.000856043535566031,-0.00158027376931521
"x374","115.00346_1.1347",0.162014976043698,-0.406257827343124
"x375","400.9442_1.1322",0.000933368435323611,-0.00357256281491793
"x376","244.96122_1.1288",-0.000975319880658109,0.000870958822967736
"x377","331.85584_1.1348",-0.000241659806616799,0.000140192811425159
"x378","305.93112_1.136",9.56068884930332e-05,-0.00256202820749939
"x379","289.03249_1.1391",-0.000149420833109992,0.00107867193547247
"x380","182.99063_1.1368",-0.00134937616325966,-0.000270984591566994
"x381","311.89709_1.1392",6.4898431320703e-05,-0.000267269420583782
"x382","241.01151_1.1488",0.00377962240773364,-0.00350909504428104
"x383","129.0191_0.9357",0.0019706869392895,-0.00143250343622215
"x384","110.98504_1.1649",0.000183425082495546,0.000590526619333873
"x385","173.05787_1.1602",0.000281102372393491,0.00116916488343698
"x386","185.02156_1.1762",0.0302713447776386,-0.0288688813518905
"x387","275.84455_1.1713",0.00442970190006648,-0.0104338533853836
"x388","277.84159_1.1713",0.00394229462525841,-0.0099964788413198
"x389","288.07183_1.1775",0.00108220318345561,-0.00192175489575129
"x390","285.87335_1.1781",0.000858265506839604,-0.00296291909849336
"x391","323.02798_1.1905",0.00200667841812269,-0.00132350309557796
"x392","270.0378_1.2036",0.000400284560638576,0.00148675642663246
"x393","334.89946_1.1974",-0.00124959246027242,0.00446388654992358
"x394","174.8389_1.2036",-0.00195148825862481,-0.00335498719499745
"x395","172.84188_1.203",-0.0019020207978974,-0.0032856952566865
"x396","172.0611_1.2036",0.0516001311187123,0.258243713879903
"x397","260.02491_1.1504",-0.000155913099712571,0.000103085782440441
"x398","281.96108_1.2042",-0.000445584677294064,0.000981356005745284
"x399","154.89813_1.2006",-0.00123246149276662,-0.00128488172973757
"x400","439.6832_1.2005",-0.00104240949615433,-0.00341666696574635
