feature,log2FC,padj,Expression
234.95456_0.8346,-0.07979296563249812,0.4707612474360689,Not significant
175.04685_0.8346,-0.2000920002197855,0.32060290133184355,Not significant
293.04888_0.6916,0.11589294980865818,0.7600756410009073,Not significant
142.99824_0.6948,-0.24847772895919587,0.015573444509544,Not significant
124.98775_0.6942,-0.2925455963509694,0.008638865983834544,Not significant
289.93673_0.6009,-0.8109060509003992,0.0350565087916351,Not significant
347.02503_0.6942,-0.6355413299473506,0.005591409017348071,Not significant
268.03056_0.7032,0.0697680537860739,0.6258948091980937,Not significant
302.96664_0.7092,-0.503037457374012,0.0860238043684378,Not significant
197.0312_0.7039,0.33662954081743457,0.07143085138368095,Not significant
147.02957_0.7053,0.07208655655266276,0.8756074480890652,Not significant
307.94691_0.7065,-0.3521590447497762,0.008754629528546989,Not significant
241.01169_0.7058,-0.3902383651340996,0.016013261231930025,Not significant
321.96236_0.7054,0.18504574445938624,0.3105931644552283,Not significant
335.9418_0.7071,-0.47147573721560265,0.027019756171152726,Not significant
245.94641_0.9315,-0.3937188534296238,0.08052216798841898,Not significant
220.00711_0.7014,0.3250969534706003,0.29450307115425395,Not significant
240.9837_0.7117,-0.10690595428779098,0.09977499040699137,Not significant
273.94206_0.695,-0.5321954725197007,0.0860238043684378,Not significant
166.9958_0.7143,-0.12101842058411527,0.1387263786863974,Not significant
160.97569_0.453,0.028461235320801553,0.6298718007690822,Not significant
130.98329_0.4543,-0.04731940053265489,0.4707612474360689,Not significant
159.97889_0.5645,-0.9980294604840709,0.1349158034029097,Not significant
226.96558_0.4865,0.2522700890577438,0.07878975675310702,Not significant
272.93333_0.7335,0.039948651231770986,0.8954747926850543,Not significant
355.0877_0.735,0.3664352819793659,0.3964695619498699,Not significant
335.97831_0.7463,0.2408024813839123,0.12794984766986287,Not significant
380.00459_0.6981,2.851815144634811,1.8960732249632853e-4,Up-regulated
517.14046_0.7948,-0.024191249012662754,0.8997899188366326,Not significant
274.97222_0.8049,0.5102556737203561,0.3222408231342946,Not significant
203.01686_0.7152,0.2752940106181188,0.60046624319093,Not significant
105.01908_0.6905,0.6104761755029441,0.05922554371121437,Not significant
262.05635_0.8216,-0.06415721642905407,0.7088924718828387,Not significant
136.03292_0.7978,0.5385531013594387,0.39409804849345326,Not significant
132.04118_0.8346,-0.20908373040469763,0.34555409098826434,Not significant
307.98324_0.817,-0.01188021482818213,0.9301314325986284,Not significant
210.06961_0.7918,-0.10547040884988777,0.7242652040307743,Not significant
287.95723_0.8371,0.578577291976326,0.37656237278569094,Not significant
270.98561_0.7125,-0.22987833256669668,0.5696262719474122,Not significant
309.11867_0.8475,-0.1704038885350918,0.7088924718828387,Not significant
217.95184_0.7829,-0.610775817512942,0.13031924865199984,Not significant
163.02451_0.8345,0.2817555746806381,0.28217123973463837,Not significant
237.06118_0.8515,-0.06670319628924816,0.32553186985197174,Not significant
337.07717_0.8578,0.2197667731449888,0.03126648383179472,Not significant
286.10394_0.746,-2.478460891678065,0.01502668247069362,Down-regulated
173.05626_0.7311,-1.6571687672796287,0.015573444509544,Down-regulated
119.03467_0.6536,0.9680862812816051,1.0754255557415158e-4,Not significant
346.05524_0.8662,-0.08634027040307929,0.7088924718828387,Not significant
115.00346_0.8891,0.6091365017456426,0.18820834823294322,Not significant
232.93894_0.8668,1.2179171461403029,2.0044194601633606e-6,Up-regulated
216.96625_0.8668,0.9450213855073542,0.028441754057893127,Not significant
319.94663_0.8668,2.21173031917134,3.5555939692139313e-4,Up-regulated
135.01814_0.8668,1.3892586001703102,4.8315845557298117e-4,Up-regulated
331.94718_0.8662,3.194434904773038,0.0012246404084844194,Up-regulated
290.08765_0.8572,0.49360496417971145,0.08539875091107332,Not significant
289.0172_0.8668,2.1436138550346056,2.57386295819417e-4,Up-regulated
470.15075_0.707,-0.43180460904691975,0.2973897830727471,Not significant
284.03821_0.8748,-0.07655295950083128,0.7088924718828387,Not significant
314.96785_0.8861,-0.13225464579641968,0.48209589868104313,Not significant
128.03507_0.878,-0.7675882555675091,9.533098272743908e-4,Not significant
272.95743_0.8805,-0.8912603422880148,0.0023846567616047846,Not significant
196.02228_0.8812,-0.986916051307338,1.3708368256370425e-5,Not significant
188.05601_0.8714,-0.896143092632868,1.0754255557415158e-4,Not significant
210.95741_0.8857,-2.102602710267881,8.613911242108366e-4,Down-regulated
171.04076_0.8844,-0.838544606331281,0.050588597081948086,Not significant
268.0433_0.8889,-0.7395245044318854,0.0016687843750292474,Not significant
298.97287_0.8883,-0.7336406020527498,5.745477612969825e-4,Not significant
233.94645_0.8902,-0.18719347639868403,0.699399365716707,Not significant
273.02234_0.8921,1.011238235026833,1.0754255557415158e-4,Up-regulated
244.96223_0.8928,-0.6234457034129925,0.1349158034029097,Not significant
173.10393_0.65,0.06963749907488243,0.8920877868502983,Not significant
200.97147_0.8853,-0.13137678788151466,0.5666207171939361,Not significant
216.94397_0.8973,0.16049692581687652,0.34555409098826434,Not significant
261.94124_0.8973,-0.3281375030806955,0.016854843448468597,Not significant
199.94144_0.8973,-0.1650376348116036,0.318724135105883,Not significant
185.05634_0.9045,-1.0515071322590397,0.012983249987791486,Down-regulated
